키워드,남성(%),여성(%),연령대별 특성,12세 이하(%),13~19세(%),20~24세(%),25~29세(%),30~39세(%),40~49세(%),50세 이상(%),Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25
푸라닭,41.49,58.5,,0.11,8.5,11.89,12.74,27.62,26.83,12.28,302400,416100,332600,307600,307200,238200,234300,250700,287600,307300,243100,229900,300900,303400,228300,190700,199800,178900,191600,182600,181300,164400,171600,234000,166900,188200,170100,195500,183900,131400,126500,134300,159500,153600,131160,121990,116860,129300,156300,144900,135800,99810,144300,154200,137100,151100,97950,117200
la갈비,34.37,65.62,50세 이상,0.03,1.12,2.86,7.42,24.07,30.38,34.08,63690,83830,431600,109500,77920,75540,65600,56760,82740,261500,374200,74580,73230,113470,549800,90560,75690,73740,86590,69410,72900,89430,455400,116700,63270,85950,214800,297100,74120,59010,56660,50840,63940,134800,417600,62330,58380,120500,457100,79540,61270,54930,49650,47540,57010,70060,291200,191500
홍익돈까스,38.06,61.93,,0.13,6.4,7.91,10.02,24.73,31.89,18.88,105730,108060,124270,120580,133210,140440,157730,151600,165820,181590,158470,163650,136840,144430,169290,170440,169650,163370,172540,152740,153950,173510,161570,168690,135580,154400,162430,154650,152230,132790,137140,128570,137060,155720,140560,127780,106930,127730,149420,130300,129530,110550,122560,119100,127470,142510,117430,137910
갈비탕,43.5,56.49,,0.04,2.49,5.5,8.69,24.9,34.56,23.78,118400,125080,137230,113380,130860,111290,112420,114660,129240,153510,136380,159410,137930,169670,183560,132870,137440,132920,131890,121960,131350,139450,145680,134180,148290,149180,152670,135440,131470,119560,117500,111930,139830,144700,147830,136220,121930,127660,153670,109440,113630,108180,121020,109530,125540,131250,130000,144170
양꼬치,45.24,54.75,,0.03,5.94,14.99,15.55,29.24,25.24,8.99,102520,92950,102680,86990,97640,116410,132480,127880,131130,123020,118860,128420,113530,120090,133760,121150,133760,125140,136470,118470,122050,123940,121830,119980,102480,108980,111190,108270,118110,130170,123750,114010,115320,116590,123680,117910,111270,116990,126960,114460,124590,114290,135560,124420,130480,135950,118840,131990
곱창,40.31,59.68,,0.1,8.1,13.74,14.66,27.54,26.21,9.61,169800,185900,175430,165200,200800,169600,186300,191890,196620,208300,186220,239700,227100,190820,188410,157030,157110,148970,152850,141600,162580,165800,150300,144620,132530,138710,144590,140390,144300,150280,148920,138230,137620,131300,120550,122650,109310,112010,126300,122290,125270,120690,127730,119430,117820,124490,112290,117920
돼지갈비,44.31,55.68,40~49세,0.04,1.45,3.85,7.39,26.65,36.72,23.85,94170,97160,136940,92090,115850,124490,148070,123590,153680,163420,133550,122350,118100,140010,169410,129970,139600,127630,131890,113950,123820,137450,160150,109750,105050,120160,144580,155180,125420,112030,124850,113180,122390,132210,139750,105390,96700,107150,143730,97380,117810,106660,117820,110040,116280,128970,120210,115730
땅스 부대찌개,41.32,58.67,40~49세,0.05,2.5,4.78,8.67,27.57,40.16,16.23,86320,95560,98840,90830,98870,82600,83480,89520,93010,105600,85390,97030,88010,92290,94360,80110,92080,96350,97910,106390,103540,103250,92830,96880,89780,92070,94850,87910,84820,83620,88670,84950,129260,104830,97150,99960,88370,92520,93810,79510,126500,114340,118910,107030,137980,142320,109270,128610
돼지갈비찜,19.17,80.82,50세 이상,0,0.3,1.07,3.26,16.83,28.31,50.19,127180,147290,297000,131070,141220,129040,118290,115750,118350,139080,220910,123910,105130,131250,238230,96650,107150,115220,112280,95000,102120,114710,214420,90290,89990,113360,139890,195270,97540,86460,85700,91080,116140,121660,187260,84970,95570,109660,227810,78880,84410,77440,85200,83740,83390,87870,103440,134410
갈비찜,28.19,71.8,50세 이상,0.02,1.59,4.04,7.18,20.61,28.13,38.39,68260,74980,135510,68820,63230,66800,67680,59960,68920,92830,127660,106760,105370,121450,262400,92360,98010,93950,100700,90300,95870,105450,236400,99270,86500,102270,129880,195210,89750,79110,85620,77850,112220,123390,208000,82430,76300,87910,202740,74070,73720,72330,75570,72220,75330,83060,120520,146260
